guid;categorie;fichier;statut;detail
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0558DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749459243.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0560DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749469244.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0576DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749479245.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0578DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749489246.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0684DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749499247.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0691DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749509248.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0693DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749529249.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0739DOSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749539250.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0804DOSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749549251.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0820DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749559252.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0844DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749569253.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0930DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750419494.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0079DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750439495.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0102DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750449496.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0119DOSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750469497.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0131DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750479498.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0149DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750489499.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0167DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750499500.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0184DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750509501.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0284DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750529502.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0286DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750539503.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0300DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750549504.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0326DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750559505.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0346DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750569506.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0362DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201750589507.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30004-0363DMSEXP-20260923-49108276_20260923-013050.txt;OK;
