"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"GAZ";"0688K2607WWV1";"01/07/2026";"275,94";"275,94";"275,94";"INTEGREE"
"GAZ";"0688K2607WXB2";"01/07/2026";"178,1";"178,1";"178,1";"INTEGREE"
"GAZ";"0688K2607WXB3";"01/07/2026";"83,25";"83,25";"83,25";"INTEGREE"
"GAZ";"0688K2607WXB5";"01/07/2026";"65,21";"65,21";"65,21";"INTEGREE"
"GAZ";"0688K2607WXB4";"01/07/2026";"172,84";"172,84";"172,84";"INTEGREE"
"GAZ";"0688K2607WXU0";"01/07/2026";"440,31";"440,31";"440,31";"INTEGREE"
"GAZ";"0688K2607WXN2";"01/07/2026";"281,76";"281,76";"281,76";"INTEGREE"
"ING";"0653R26070199";"01/07/2026";"94046,17";"94046,17";"94046,17";"INTEGREE"
"GAZ";"0688K2607WXZ0";"01/07/2026";"345,82";"345,82";"345,82";"INTEGREE"
"GAZ";"0688K2607WXY8";"01/07/2026";"78,88";"78,88";"78,88";"INTEGREE"
"GAZ";"0688K2607WXL4";"01/07/2026";"162,56";"162,56";"162,56";"INTEGREE"
"GAZ";"0688K2607WXM2";"01/07/2026";"279,09";"279,09";"279,09";"INTEGREE"
"GAZ";"0688K2607WXT2";"01/07/2026";"309,71";"309,71";"309,71";"INTEGREE"
"GAZ";"0688K2607WXT3";"01/07/2026";"242,36";"242,36";"242,36";"INTEGREE"
"GAZ";"0688K2607WXQ3";"01/07/2026";"105,23";"105,23";"105,23";"INTEGREE"
"GAZ";"0688K2607WXQ2";"01/07/2026";"174,72";"174,72";"174,72";"INTEGREE"
"GAZ";"0688K2607WXB8";"01/07/2026";"39,58";"39,58";"39,58";"INTEGREE"
"GAZ";"0688K2607WXB7";"01/07/2026";"178,86";"178,86";"178,86";"INTEGREE"
"GAZ";"0688K2607WWX1";"01/07/2026";"1290,66";"1290,66";"1290,66";"INTEGREE"
"GAZ";"0688K2607WWX6";"01/07/2026";"51,38";"51,38";"51,38";"INTEGREE"
"GAZ";"0688K2607WWX4";"01/07/2026";"105,14";"105,14";"105,14";"INTEGREE"
"GAZ";"0688K2607WXS9";"01/07/2026";"132,67";"132,67";"132,67";"INTEGREE"
"GAZ";"0688K2607WWS3";"01/07/2026";"189,06";"189,06";"189,06";"INTEGREE"
"GAZ";"0688K2607WWS4";"01/07/2026";"208,7";"208,7";"208,7";"INTEGREE"
"ING";"0001L2607XEM0";"01/07/2026";"31499,59";"31499,59";"31499,59";"INTEGREE"
"GAZ";"0688K2607WXS4";"01/07/2026";"1468,61";"1468,61";"1468,61";"INTEGREE"
"GAZ";"0688K2607WXR9";"01/07/2026";"1314,07";"1314,07";"1314,07";"INTEGREE"
"GAZ";"0688K2607WXS0";"01/07/2026";"165,18";"165,18";"165,18";"INTEGREE"
"GAZ";"0688K2607WXW7";"01/07/2026";"130,02";"130,02";"130,02";"INTEGREE"
"GAZ";"0688K2607WXW8";"01/07/2026";"265,9";"265,9";"265,9";"INTEGREE"
"GAZ";"0688K2607WXF6";"01/07/2026";"259,16";"259,16";"259,16";"INTEGREE"
"GAZ";"0688K2607WWN6";"01/07/2026";"566,34";"566,34";"566,34";"INTEGREE"
"GAZ";"0688K2607WXF0";"01/07/2026";"77,27";"77,27";"77,27";"INTEGREE"
"GAZ";"0688K2607WXF1";"01/07/2026";"75,63";"75,63";"75,63";"INTEGREE"
"GAZ";"0688K2607WXU3";"01/07/2026";"542,28";"542,28";"542,28";"INTEGREE"
"GAZ";"0688K2607WXD4";"01/07/2026";"163,8";"163,8";"163,8";"INTEGREE"
"ING";"0001E2607WNQ3";"01/07/2026";"11819,8";"11819,8";"11819,8";"INTEGREE"
"GAZ";"0688K2607WXY4";"01/07/2026";"50,74";"50,74";"50,74";"INTEGREE"
"GAZ";"0688K2607WXY3";"01/07/2026";"65,64";"65,64";"65,64";"INTEGREE"
"ING";"0001C2607VLX4";"01/07/2026";"750,07";"750,07";"750,07";"INTEGREE"
"ING";"0001R2607XMY0";"01/07/2026";"5433,1";"5433,1";"5433,1";"INTEGREE"
"GAZ";"0688K2607WXG0";"01/07/2026";"1387,6";"1387,6";"1387,6";"INTEGREE"
"GAZ";"0688K2607WXE4";"01/07/2026";"168,2";"168,2";"168,2";"INTEGREE"
"GAZ";"0688K2607WWP8";"01/07/2026";"232,49";"232,49";"232,49";"INTEGREE"
"GAZ";"0688K2607WXQ5";"01/07/2026";"240,21";"240,21";"240,21";"INTEGREE"
"GAZ";"0688K2607WXU4";"01/07/2026";"435,97";"435,97";"435,97";"INTEGREE"
"GAZ";"0688K2607WXQ1";"01/07/2026";"203,76";"203,76";"203,76";"INTEGREE"
"GAZ";"0688K2607WXL2";"01/07/2026";"-2378,82";"-2378,82";"-2378,82";"INTEGREE"
"GAZ";"0688K2607WXT5";"01/07/2026";"992,46";"992,46";"992,46";"INTEGREE"
"GAZ";"0688K2607WXG8";"01/07/2026";"1948,46";"1948,46";"1948,46";"INTEGREE"
"GAZ";"0688K2607WXT1";"01/07/2026";"34,26";"34,26";"34,26";"INTEGREE"
"GAZ";"0688K2607WXM4";"01/07/2026";"280,86";"280,86";"280,86";"INTEGREE"
"GAZ";"0688K2607WXN1";"01/07/2026";"154,03";"154,03";"154,03";"INTEGREE"
"GAZ";"0688K2607WXL3";"01/07/2026";"550,89";"550,89";"550,89";"INTEGREE"
"GAZ";"0688K2607WXH1";"01/07/2026";"147,86";"147,86";"147,86";"INTEGREE"
"GAZ";"0688K2607WXZ6";"01/07/2026";"176,15";"176,15";"176,15";"INTEGREE"
"GAZ";"0688K2607WXV2";"01/07/2026";"162,95";"162,95";"162,95";"INTEGREE"
"GAZ";"0688K2607WXZ2";"01/07/2026";"485,58";"485,58";"485,58";"INTEGREE"
"GAZ";"0688K2607WXM5";"01/07/2026";"247,81";"247,81";"247,81";"INTEGREE"
"GAZ";"0688K2607WXP5";"01/07/2026";"1201,29";"1201,29";"1201,29";"INTEGREE"
"ING";"0001S2607XLG5";"01/07/2026";"855,72";"855,72";"855,72";"INTEGREE"
"GAZ";"0688K2607WWV3";"01/07/2026";"106,72";"106,72";"106,72";"INTEGREE"
"GAZ";"0688K2607WWX8";"01/07/2026";"95,26";"95,26";"95,26";"INTEGREE"
"GAZ";"0688K2607WXD5";"01/07/2026";"138,19";"138,19";"138,19";"INTEGREE"
"GAZ";"0688K2607WXG3";"01/07/2026";"1134,67";"1134,67";"1134,67";"INTEGREE"
"GAZ";"0688K2607WXF7";"01/07/2026";"238,87";"238,87";"238,87";"INTEGREE"
"ING";"0001R2607XMY1";"01/07/2026";"17099,93";"17099,93";"17099,93";"INTEGREE"
"ING";"0169R26070746";"01/07/2026";"1156,1";"1156,1";"1156,1";"INTEGREE"
"ING";"0547R26070006";"01/07/2026";"1973,57";"1973,57";"1973,57";"INTEGREE"
"ING";"0001C2607VTY3";"01/07/2026";"156789,48";"156789,48";"156789,48";"INTEGREE"
"ING";"0001R2607WMF7";"01/07/2026";"156849,93";"156849,93";"156849,93";"INTEGREE"
"ING";"0261L26070028";"01/07/2026";"72869,03";"72869,03";"72869,03";"INTEGREE"
"ING";"0344R26070008";"01/07/2026";"18020,02";"18020,02";"18020,02";"INTEGREE"
"ING";"0034L26070680";"01/07/2026";"8300,59";"8300,59";"8300,59";"INTEGREE"
"ING";"0360C26070709";"01/07/2026";"1101,26";"1101,26";"1101,26";"INTEGREE"
"ING";"0185O26070068";"01/07/2026";"238200";"238200";"238200";"INTEGREE"
"ING";"0185O26070069";"01/07/2026";"221400";"221400";"221400";"INTEGREE"
"ING";"0185O26070070";"01/07/2026";"49800";"49800";"49800";"INTEGREE"
"ING";"0185O26070067";"01/07/2026";"123300";"123300";"123300";"INTEGREE"
"ING";"0185O26070072";"01/07/2026";"121800";"121800";"121800";"INTEGREE"
"ING";"0185O26070073";"01/07/2026";"224400";"224400";"224400";"INTEGREE"
"ING";"0185O26070071";"01/07/2026";"69300";"69300";"69300";"INTEGREE"
"ING";"0693C26073186";"01/07/2026";"2373,61";"2373,61";"2373,61";"INTEGREE"
