VHC03_SRC_FACTURESFOURNISSEURS_070826_154005.csv
N° ligne source;Erreur;Date arrêté comptable;Code société;Compte local;ID fournisseur externe; Code Tache;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de pièce comptable;Numéro de pièce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'échéance;ID scan facture;Origine scan facture;Code region
0000000106;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001048R;VFF;Facture MASTERNAUT FR1153339 102024;3;STANDARD;32.79;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000107;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001074W;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000108;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001015D;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000109;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0006518G;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000110;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009900A;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000111;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008832L;VFF;Facture MASTERNAUT FR1153339 102024;6;STANDARD;65.58;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000112;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009543V;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000113;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009898Y;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000114;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009886J;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000115;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0231892N;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000116;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008827F;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000117;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009764W;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000118;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009698W;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000119;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0545475H;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000120;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001492W;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000121;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001520C;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000122;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001539Z;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000123;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0217799Z;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000124;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0648575S;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000125;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1241076N;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000126;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0066095H;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000127;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001538Y;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000128;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001519B;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000129;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1163955B;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000130;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001546G;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000131;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001509P;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000132;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0010127H;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000006G
0000000133;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1007835S;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000006G
0000000134;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0010061H;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000006G
0000000135;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1335315D;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000136;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1034014R;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000137;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029046G;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000138;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029079V;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000139;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000140;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029042C;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000141;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0346471S;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000142;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029054R;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000143;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029050L;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000144;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0045173H;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000145;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0232180R;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000146;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1153339 102024;0;STANDARD;282.23;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000147;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196986 102025;0;STANDARD;94.36;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000148;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813656J;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000149;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001257D;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000150;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000151;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813645X;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000152;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001234C;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000153;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813661P;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000154;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0216824R;VFF;Facture MASTERNAUT FR1196986 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000155;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196986 102025;0;STANDARD;15.75;EUR;31/10/2025;FR1196986;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000156;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196987 102025;0;STANDARD;26.96;EUR;31/10/2025;FR1196987;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000157;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001059D;VFF;Facture MASTERNAUT FR1196987 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196987;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000158;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0211899V;VFF;Facture MASTERNAUT FR1196987 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196987;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000159;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196987 102025;0;STANDARD;4.50;EUR;31/10/2025;FR1196987;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000160;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196988 102025;0;STANDARD;53.92;EUR;31/10/2025;FR1196988;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000161;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001520C;VFF;Facture MASTERNAUT FR1196988 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196988;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000162;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0066095H;VFF;Facture MASTERNAUT FR1196988 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196988;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000163;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001538Y;VFF;Facture MASTERNAUT FR1196988 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196988;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000164;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001519B;VFF;Facture MASTERNAUT FR1196988 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196988;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000165;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196988 102025;0;STANDARD;9.00;EUR;31/10/2025;FR1196988;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000166;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196989 102025;0;STANDARD;53.92;EUR;31/10/2025;FR1196989;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000167;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0231892N;VFF;Facture MASTERNAUT FR1196989 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196989;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000168;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009900A;VFF;Facture MASTERNAUT FR1196989 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196989;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000169;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009543V;VFF;Facture MASTERNAUT FR1196989 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196989;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000170;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008832L;VFF;Facture MASTERNAUT FR1196989 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196989;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000171;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196989 102025;0;STANDARD;9.00;EUR;31/10/2025;FR1196989;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000172;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196990 102025;0;STANDARD;13.48;EUR;31/10/2025;FR1196990;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000173;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1335315D;VFF;Facture MASTERNAUT FR1196990 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196990;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000174;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196990 102025;0;STANDARD;2.25;EUR;31/10/2025;FR1196990;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000175;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196991 102025;0;STANDARD;13.48;EUR;31/10/2025;FR1196991;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000176;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1196991 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1196991;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000177;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1196991 102025;0;STANDARD;2.25;EUR;31/10/2025;FR1196991;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000178;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1197910 102025;0;STANDARD;40.44;EUR;31/10/2025;FR1197910;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000179;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0346471S;VFF;Facture MASTERNAUT FR1197910 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1197910;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000180;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029054R;VFF;Facture MASTERNAUT FR1197910 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1197910;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000181;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1197910 102025;1;STANDARD;11.23;EUR;31/10/2025;FR1197910;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000182;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1197910 102025;0;STANDARD;6.75;EUR;31/10/2025;FR1197910;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000183;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1225990 042026;0;STANDARD;13.79;EUR;30/04/2026;FR1225990;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000184;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1225990 042026;1;STANDARD;11.49;EUR;30/04/2026;FR1225990;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000185;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1225990 042026;0;STANDARD;2.30;EUR;30/04/2026;FR1225990;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000186;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1225991 042026;0;STANDARD;13.79;EUR;30/04/2026;FR1225991;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000187;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1225991 042026;1;STANDARD;11.49;EUR;30/04/2026;FR1225991;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000188;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1225991 042026;0;STANDARD;2.30;EUR;30/04/2026;FR1225991;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000189;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1221715 032026;0;STANDARD;13.79;EUR;31/03/2026;FR1221715;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000190;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1221715 032026;1;STANDARD;11.49;EUR;31/03/2026;FR1221715;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000191;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1221715 032026;0;STANDARD;2.30;EUR;31/03/2026;FR1221715;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000192;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1221716 032026;0;STANDARD;13.79;EUR;31/03/2026;FR1221716;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000193;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1221716 032026;1;STANDARD;11.49;EUR;31/03/2026;FR1221716;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000194;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1221716 032026;0;STANDARD;2.30;EUR;31/03/2026;FR1221716;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000195;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1217484 022026;0;STANDARD;13.79;EUR;28/02/2026;FR1217484;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000196;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1217484 022026;1;STANDARD;11.49;EUR;28/02/2026;FR1217484;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000197;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1217484 022026;0;STANDARD;2.30;EUR;28/02/2026;FR1217484;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000198;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1217485 022026;0;STANDARD;13.79;EUR;28/02/2026;FR1217485;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000199;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1217485 022026;1;STANDARD;11.49;EUR;28/02/2026;FR1217485;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000200;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1217485 022026;0;STANDARD;2.30;EUR;28/02/2026;FR1217485;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000201;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1201975 112025;0;STANDARD;26.96;EUR;30/11/2025;FR1201975;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000202;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001059D;VFF;Facture MASTERNAUT FR1201975 112025;1;STANDARD;11.23;EUR;30/11/2025;FR1201975;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000203;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0211899V;VFF;Facture MASTERNAUT FR1201975 112025;1;STANDARD;11.23;EUR;30/11/2025;FR1201975;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000204;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1201975 112025;0;STANDARD;4.50;EUR;30/11/2025;FR1201975;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000205;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1201977 112025;0;STANDARD;53.92;EUR;30/11/2025;FR1201977;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000206;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0231892N;VFF;Facture MASTERNAUT FR1201977 112025;1;STANDARD;11.23;EUR;30/11/2025;FR1201977;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000207;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009900A;VFF;Facture MASTERNAUT FR1201977 112025;1;STANDARD;11.23;EUR;30/11/2025;FR1201977;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000208;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009543V;VFF;Facture MASTERNAUT FR1201977 112025;1;STANDARD;11.23;EUR;30/11/2025;FR1201977;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000209;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008832L;VFF;Facture MASTERNAUT FR1201977 112025;1;STANDARD;11.23;EUR;30/11/2025;FR1201977;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000210;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1201977 112025;0;STANDARD;9.00;EUR;30/11/2025;FR1201977;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
