Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;445660;0688;GL0039590N;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;49,77;EUR;18/08/2026;0688K2608AXGX;20,00;;;;18/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL0044955K;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;86,84;EUR;18/08/2026;0688K2608AXEN;;;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044955K;GAZ;VENTE DE GAZ;0,00001;STANDARD;23,69;EUR;18/08/2026;0688K2608AXEN;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044955K;GAZ;VENTE DE GAZ;0,00001;STANDARD;48,68;EUR;18/08/2026;0688K2608AXEN;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000002C
26/08/2026;0001;445660;0688;GL0044955K;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;14,47;EUR;18/08/2026;0688K2608AXEN;20,00;;;;18/08/2026;;;B00000002C
26/08/2026;0001;401050;0688;GL0212501D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;218,98;EUR;18/08/2026;0688K2608AXCN;;;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0212501D;GAZ;VENTE DE GAZ;0,00001;STANDARD;34,45;EUR;18/08/2026;0688K2608AXCN;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0212501D;GAZ;VENTE DE GAZ;0,00001;STANDARD;148,03;EUR;18/08/2026;0688K2608AXCN;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0212501D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;36,5;EUR;18/08/2026;0688K2608AXCN;20,00;;;;18/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0050069X;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;99,10;EUR;18/08/2026;0688K2608AXKD;;;;;18/08/2026;;;B00000003D
