GL Closing Date;Company Code;Compte local;ID fournisseur externe;Appro Task Code;Code Folio;Description;Quantity;Type;Montant;Currency Code;Document Date;Document Number;VAT %;Nature 1;Nature 2;VAT Type;Due Date;Invoice Scan ID;Invoice Scan Source;Region Code;Source file id;Application source
26/08/2026;0367;401100;S00055292-FRA59270;GN1583992R;HAF;STANDARD - FS26/0858;0,00001;STANDARD;16808,90;EUR;06/08/2026;FS26/0858;0,00;;;;;PRN-FVB0064269-SYLVANORD-FS26-0858.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;S00055292-FRA59270;GN1583992R;HAF;STANDARD - FS26/0858;157,82000;STANDARD;1528,08;EUR;06/08/2026;FS26/0858;10,00;;;DED_10.00D;;PRN-FVB0064269-SYLVANORD-FS26-0858.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;S00055292-FRA59270;GN1583992R;HAF;STANDARD - FS26/0858;157,82000;STANDARD;15280,82;EUR;06/08/2026;FS26/0858;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064269-SYLVANORD-FS26-0858.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0857;0,00001;STANDARD;13689,51;EUR;06/08/2026;FS26/0857;0,00;;;;;PRN-FVB0064270-SYLVANORD-FS26-0857.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0857;133,72000;STANDARD;1244,50;EUR;06/08/2026;FS26/0857;10,00;;;DED_10.00D;;PRN-FVB0064270-SYLVANORD-FS26-0857.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0857;133,72000;STANDARD;12445,01;EUR;06/08/2026;FS26/0857;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064270-SYLVANORD-FS26-0857.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;S00074992-FRA01500REGLT;GN1583944L;HAF;STANDARD - FV-010435;0,00001;STANDARD;3904,03;EUR;30/04/2026;FV-010435;0,00;;;;;PRN-FVB0064271-fv-10435.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;S00074992-FRA01500REGLT;GN1583944L;HAF;STANDARD - FV-010435;37,28000;STANDARD;650,67;EUR;30/04/2026;FV-010435;20,00;;;DED_20.00E;;PRN-FVB0064271-fv-10435.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;S00074992-FRA01500REGLT;GN1583944L;HAF;STANDARD - FV-010435;37,28000;STANDARD;3253,36;EUR;30/04/2026;FV-010435;20,00;COUTS CENDRES;;;;PRN-FVB0064271-fv-10435.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583270W;HAF;STANDARD - FAC00004077;0,00001;STANDARD;734,04;EUR;30/07/2026;FAC00004077;0,00;;;;;PRN-FVB0064272-facture-FAC00004077.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583270W;HAF;STANDARD - FAC00004077;1,60000;STANDARD;122,34;EUR;30/07/2026;FAC00004077;20,00;;;DED_20.00E;;PRN-FVB0064272-facture-FAC00004077.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583270W;HAF;STANDARD - FAC00004077;1,60000;STANDARD;611,70;EUR;30/07/2026;FAC00004077;20,00;COUTS CENDRES;;;;PRN-FVB0064272-facture-FAC00004077.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583243P;HAF;STANDARD - FAC00004078;0,00001;STANDARD;719,64;EUR;30/07/2026;FAC00004078;0,00;;;;;PRN-FVB0064273-facture-FAC00004078.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583243P;HAF;STANDARD - FAC00004078;1,20000;STANDARD;119,94;EUR;30/07/2026;FAC00004078;20,00;;;DED_20.00E;;PRN-FVB0064273-facture-FAC00004078.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583243P;HAF;STANDARD - FAC00004078;1,20000;STANDARD;599,70;EUR;30/07/2026;FAC00004078;20,00;COUTS CENDRES;;;;PRN-FVB0064273-facture-FAC00004078.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;103780-FRA14340;GN1584003D;HAF;STANDARD - FA2026/164;0,00001;STANDARD;5486,50;EUR;31/07/2026;FA2026/164;0,00;;;;;PRN-FVB0064274-DAVOUST-FA2026-164.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;103780-FRA14340;GN1584003D;HAF;STANDARD - FA2026/164;36,44000;STANDARD;498,77;EUR;31/07/2026;FA2026/164;10,00;;;DED_10.00D;;PRN-FVB0064274-DAVOUST-FA2026-164.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;103780-FRA14340;GN1584003D;HAF;STANDARD - FA2026/164;36,44000;STANDARD;4987,73;EUR;31/07/2026;FA2026/164;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064274-DAVOUST-FA2026-164.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;85475-FRA21270;GN1583397P;HAF;STANDARD - 26A0203;0,00001;STANDARD;13105,30;EUR;30/06/2026;26A0203;0,00;;;;;PRN-FVB0064275-EBS-26A0203.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;85475-FRA21270;GN1583397P;HAF;STANDARD - 26A0203;126,06000;STANDARD;1191,39;EUR;30/06/2026;26A0203;10,00;;;DED_10.00D;;PRN-FVB0064275-EBS-26A0203.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;85475-FRA21270;GN1583397P;HAF;STANDARD - 26A0203;126,06000;STANDARD;11913,91;EUR;30/06/2026;26A0203;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064275-EBS-26A0203.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;89690-FRA19200-A;GN1583469X;HAF;STANDARD - 2026-07-VCOM303;0,00001;STANDARD;13418,56;EUR;31/07/2026;2026-07-VCOM303;0,00;;;;;PRN-FVB0064276-SYLVO-WATTS-2026-07-VCOM303.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;89690-FRA19200-A;GN1583469X;HAF;STANDARD - 2026-07-VCOM303;142,92000;STANDARD;1219,87;EUR;31/07/2026;2026-07-VCOM303;10,00;;;DED_10.00D;;PRN-FVB0064276-SYLVO-WATTS-2026-07-VCOM303.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;89690-FRA19200-A;GN1583469X;HAF;STANDARD - 2026-07-VCOM303;142,92000;STANDARD;12198,69;EUR;31/07/2026;2026-07-VCOM303;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064276-SYLVO-WATTS-2026-07-VCOM303.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
