guid;categorie;fichier;statut;detail
3693b409347c4c89967976e0924428e1;DK;DK_30004-0028DRWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0028DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0028DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397019054.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0119DOSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0119DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0119DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397039055.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0131DCWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0131DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0131DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397049056.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0166DCWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0166DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0166DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397059057.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0363DMSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0363DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0363DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397079058.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0383DMSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0383DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0383DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397089059.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0388DCWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0388DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0388DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397099060.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0420DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0420DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0420DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397109061.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0420DNAEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0420DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0420DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397109061.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0502DMSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0502DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0502DMSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397839062.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0507DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0507DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0507DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397849063.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0512DLSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0512DLSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0512DLSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397859064.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0600DSWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0600DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0600DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397869065.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0631DRWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0631DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0631DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397889066.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30004-0800DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30004-0800DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30004-0800DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890397899067.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
ddb2be96ebd049bbbaac099e37456324;DK;DK_30003-0034DLSGPX-20260918-49069699_20260918-030523.txt;OK;attendu via Oracle
